"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
3.83098,69.7703,-65.7434,54.9846
39.923,66.0068,13.1214,73.3034
19.7284,71.3012,-13.3487,59.2916
29.5224,76.4044,63.871,60.3967
23.5849,105.666,30.323,93.2876
36.8378,200.412,201.314,184.831
21.5251,99.5247,-10.8722,139.591
21.7175,29.6512,11.5568,14.7546
17.1925,78.8589,20.4949,91.5636
27.7289,92.3093,6.79942,107.527
10.9454,84.8337,-50.537,55.487
33.1321,19.1289,-73.9001,60.9928
21.7105,69.7065,-55.5778,82.4764
-5.56443,71.3032,-40.2195,97.1636
6.24153,30.8629,-10.0972,36.6051
31.2771,87.5361,-14.6544,84.5213
14.4712,56.6301,146.564,101.848
0.606435,63.1363,-70.5291,66.4674
13.0582,95.1965,24.0086,100.635
24.3279,28.6945,-57.9349,47.2473
49.2492,91.4931,-46.5329,102.216
34.9285,74.6415,-85.5779,56.1476
24.4836,32.2021,-67.2964,54.2877
43.7746,59.0539,230.163,126.186
39.0171,94.1925,38.8548,100.929
11.035,69.1962,-22.2166,57.6956
-0.903216,95.4475,-82.076,71.7251
13.4952,76.2155,58.7705,119.018
51.8851,72.2482,-41.166,77.153
10.1498,77.4744,35.7372,40.4434
11.0208,124.927,122.276,138.381
18.8217,77.7891,63.1881,80.9293
32.141,65.1775,111.831,104.169
