"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
67.73,98.5214,-40.1151,161.646
-1.94325,78.8589,-63.871,84.2089
1.80355,2.23152,-108.205,55.1368
73.8841,123.554,-10.8623,83.8143
41.1785,129.92,42.4807,159.005
35.134,85.3365,-27.9831,63.7403
-3.34032,44.2562,-54.6161,90.5505
41.6576,65.4327,29.352,99.6876
42.5006,64.0293,20.5286,133.837
33.8678,116.805,-33.9311,137.478
37.3604,70.9882,-61.7024,78.0729
9.19677,73.0041,-62.972,109.828
33.1972,73.6339,-35.5659,78.1021
9.49715,92.2466,64.1809,119.046
30.4572,48.9122,161.213,96.5036
35.0123,57.7782,110.909,113.784
13.1613,46.9988,-64.9771,77.0119
-6.69177,131.105,104.02,130.801
51.6502,120.493,64.0564,97.171
22.9221,73.445,-66.3772,63.4806
61.5736,117.181,94.7316,118.885
2.26153,48.7209,-121.237,52.9245
14.2615,83.8907,64.6379,94.7131
11.7873,65.3051,-6.83526,47.128
36.119,93.6276,-56.245,82.103
47.5346,176.949,219.717,189.246
-3.2833,58.6712,-56.0965,49.8567
37.9237,79.0477,-5.75978,82.431
60.281,55.163,119.618,148.294
36.7345,49.4225,-2.45144,68.4929
7.47846,57.0128,-7.21731,63.4506
27.1474,110.237,57.2467,117.364
24.0522,80.6834,-64.2091,83.9588
43.8409,131.791,66.7556,124.9
81.8763,110.3,31.3197,142.408
9.9854,60.6486,-1.44491,95.219
104.597,128.485,103.224,132.388
3.90206,119.868,-67.2657,65.3397
31.961,48.8485,-14.9341,87.6489
58.5996,124.678,34.6854,146.754
17.5499,78.3555,26.3451,88.3624
33.2322,107.733,121.889,104.637
11.685,53.8873,-10.954,76.7525
25.1845,107.733,-4.9384,128.549
35.4314,512.302,73.4145,55.0395
94.8306,104.226,4.48368,72.2287
37.7636,65.3689,-61.3621,81.9552
14.7214,57.9696,19.2714,67.9565
29.0286,38.8987,-0.760788,48.3189
-6.31432,131.604,75.5902,123.22
16.9162,41.5136,-84.32,43.1572
35.958,29.5236,92.5432,99.9993
12.8286,96.9533,-33.436,53.1266
