"FSC-A","SSC-A","APC-A","FITC-A","Time"
83311.8,47576,5.95,873.27,1.98203
41103.7,39214.4,10.2,482.67,1.98406
53685.2,45902.9,21.25,689.13,1.98812
75651.2,60629.5,52.7,807.24,1.99015
68620.2,47964.8,6.8,701.22,1.99218
25336.1,51698.7,13.6,378.51,1.99319
41266.4,49164.4,43.35,611.01,1.99319
47583.3,37785,28.05,426.87,1.99826
61266.1,79810.7,-3.4,1029.51,2.00435
69676.4,67276.2,12.75,814.68,2.00536
71978.5,68054.6,-8.5,782.13,2.00536
36828.2,49865.7,28.05,566.37,2.00841
59773,74970.1,50.15,903.96,2.01044
78389.3,51376,22.1,674.25,2.01652
52476.5,84233.8,19.55,933.72,2.01652
71734.4,63373,60.35,744,2.01754
53219.9,48393.5,29.75,641.7,2.01957
55159.4,77380.6,39.1,797.94,2.02159
47728.6,71486.3,82.45,1174.59,2.02362
47037.4,64063.1,12.75,850.95,2.02464
50158.7,57622.8,50.15,787.71,2.02667
45437.6,70210.4,20.4,1921.38,2.02869
84289.8,59261.5,34,819.33,2.03377
42773,43308.2,23.8,432.45,2.0358
65908.9,77948.9,30.6,1076.94,2.03681
50219.5,69455.2,52.7,776.55,2.03782
58462.4,52354.4,13.6,691.92,2.0429
39715.7,42917.6,39.95,584.97,2.04695
54957.1,60263.1,61.2,963.48,2.04797
56985.9,53860.9,54.4,791.43,2.05405
57077.5,50884,30.6,654.72,2.0571
103395,74433.5,62.9,860.25,2.06217
56902.1,78417.6,27.2,801.66,2.0642
74975.7,60041.7,56.95,679.83,2.06623
52525.5,50076.8,25.5,605.43,2.06724
72463.5,48378.6,-0.85,782.13,2.0713
44015.6,47992.6,23.8,613.8,2.0713
50921.8,35977.1,22.1,548.7,2.07434
72334,64030.5,-2.55,881.64,2.07535
44934.4,36250.5,51.85,554.28,2.07738
45211.7,37138.6,17,537.54,2.0784
84765.4,61605.1,25.5,874.2,2.07941
62787.6,72219.1,48.45,839.79,2.0855
49527.5,53832.1,-4.25,605.43,2.09361
76442,63090.3,21.25,991.38,2.09767
69417.3,63380.4,68.85,860.25,2.10071
44037,41252,28.9,554.28,2.10173
51072.7,59927.3,34,688.2,2.10579
40888,36778.7,37.4,443.61,2.10883
64363.7,71389.6,12.75,625.89,2.11086
54358.3,55996.2,33.15,633.33,2.11187
60416.8,63568.3,104.55,976.5,2.11694
63169.2,73446.8,31.45,1022.07,2.11796
64172.5,62420.7,34.85,854.67,2.121
59296.6,62213.3,38.25,1015.56,2.12303
59780.1,69684.9,85,971.85,2.12303
46117,37972.8,53.55,544.05,2.12404
69001.8,48444.6,48.45,446.4,2.12506
37603.2,44726.5,45.05,466.86,2.12912
68173.1,71632.3,9.35,1065.78,2.1352
52241.1,48046.6,-10.2,572.88,2.13723
55323.7,53805.2,34.85,893.73,2.13926
38627.8,49121.7,3.4,589.62,2.14129
47535.9,54699.8,26.35,638.91,2.14636
83063,82611.9,5.1,1008.12,2.1494
48929.4,44315.4,41.65,521.73,2.15955
43836.3,44372.2,-8.5,720.75,2.16462
36169.4,35445.1,58.65,458.49,2.16563
60809.5,55106.2,5.95,911.4,2.16563
64644.9,51506.2,-9.35,574.74,2.16665
62993,60340.3,28.9,776.55,2.16969
68327.1,51854,-20.4,684.48,2.17172
39624,46148.5,19.55,854.67,2.17476
88800.7,56642.6,35.7,732.84,2.1778
52333.6,61384.7,18.7,674.25,2.1778
66209.1,67169.2,19.55,858.39,2.1778
41625.1,46758.5,51.85,663.09,2.1778
62984.3,49488.1,27.2,644.49,2.17882
28850.8,42931.6,65.45,571.02,2.18085
55545.7,48940.3,28.9,888.15,2.18186
72018,55202,50.15,709.59,2.18288
93305.3,74240,36.55,1209,2.18389
60078.7,54693.3,75.65,670.53,2.1849
56991.4,49051.9,0,753.3,2.18693
62336.5,54855.1,44.2,704.94,2.18896
57583.1,72526,63.75,825.84,2.192
64080.9,65285.1,35.7,881.64,2.192
80943.4,76950.1,43.35,932.79,2.19302
47341.5,44502.4,-5.95,468.72,2.19708
66864,59695.8,9.35,768.18,2.19911
44730.6,46136.4,18.7,635.19,2.20418
51499.3,52715.2,49.3,717.03,2.20519
57760.9,43705.4,61.2,527.31,2.20621
60728.9,68086.2,58.65,710.52,2.20722
77920.1,54780.7,38.25,700.29,2.20722
29331.1,35580.9,-27.2,442.68,2.20925
28432.9,33579.5,22.1,495.69,2.21026
72251,62428.1,29.75,739.35,2.21432
49326.8,53332.7,4.25,750.51,2.21432
76225.5,71077.1,-40.8,768.18,2.21533
36764.2,37991.4,20.4,391.53,2.22041
69027,83755.8,28.9,1033.23,2.22041
41456,31451.7,9.35,535.68,2.22548
52369.9,45943.9,-29.75,558.93,2.22751
41744.4,48745.9,-6.8,416.64,2.22852
71888.4,52532.9,45.05,799.8,2.23359
54842.6,55041.1,13.6,606.36,2.24475
54122.1,49706.6,39.1,548.7,2.24678
33828.6,53687,27.2,664.95,2.24779
71978.5,62581.6,16.15,804.45,2.25185
59948.4,75877.8,5.1,953.25,2.25388
49785,34540.2,15.3,453.84,2.25997
95215.5,71146.9,51.85,905.82,2.26199
41728.6,34892.7,7.65,731.91,2.26808
50937.6,43566.8,7.65,539.4,2.27011
89887.8,67886.3,22.95,890.94,2.27315
54815.7,77927.5,7.65,1006.26,2.27417
77082.7,57132.7,22.95,755.16,2.28025
34765.5,43096.2,21.25,598.92,2.28127
69822.6,64098.4,37.4,827.7,2.28228
52870.8,48555.3,0,625.89,2.2833
49606.5,51280.2,4.25,690.99,2.28431
81941.2,66815.9,-12.75,883.5,2.28634
47257,65383.7,12.75,717.96,2.28837
58896.1,65630.1,45.05,857.46,2.28837
58822.6,63424.1,34,957.9,2.28938
52506.6,62746.2,20.4,796.08,2.2904
73566.4,86481.6,28.9,998.82,2.29547
45737.1,35773.4,17.85,506.85,2.30054
56664.3,82946.7,51.85,845.37,2.30054
35392,46089.9,22.95,830.49,2.30155
64107.7,62189.1,33.15,841.65,2.30561
57373.8,61509.3,11.05,643.56,2.30865
101940,64008.2,56.95,791.43,2.30967
59694.8,64863.8,29.75,708.66,2.3117
55513.3,68143.9,-13.6,842.58,2.31271
73276.5,53058.4,35.7,797.94,2.31474
62375.2,46651.6,8.5,799.8,2.31474
80765.6,70901.3,3.4,1086.24,2.31474
68411.6,50444.1,-12.75,704.01,2.31576
71057.3,62712.7,6.8,837.93,2.31677
55161.8,81737.7,45.05,894.66,2.31677
36973.6,59217.8,58.65,785.85,2.32184
68027.7,58449.6,62.9,757.02,2.32286
103011,55372.2,24.65,790.5,2.32488
46408.6,30274.3,37.4,538.47,2.32488
46185.8,51063.5,11.05,664.95,2.3259
61496.8,49836.8,17,748.65,2.32793
82737.5,61642.3,30.6,646.35,2.33097
56778.9,74348.9,-4.25,972.78,2.33198
