TRAPPC3	TRAPPC3
MAP7D1	MAP7D1
THRAP3	THRAP3
SH3D21	SH3D21
FAM176B	FAM176B
STK40	STK40
LOC100506594	LOC100506594
LSM10	LSM10
OSCP1	OSCP1
MRPS15	MRPS15
CSF3R	CSF3R
GRIK3	GRIK3
MIR4255	MIR4255
LOC728431	LOC728431
ZC3H12A	ZC3H12A
MEAF6	MEAF6
SNIP1	SNIP1
DNALI1	DNALI1
GNL2	GNL2
RSPO1	RSPO1
C1orf109	C1orf109
CDCA8	CDCA8
EPHA10	EPHA10
MANEAL	MANEAL
YRDC	YRDC
C1orf122	C1orf122
MTF1	MTF1
INPP5B	INPP5B
SF3A3	SF3A3
FHL3	FHL3
UTP11L	UTP11L
POU3F1	POU3F1
MIR3659	MIR3659
LOC339442	LOC339442
RRAGC	RRAGC
GJA9-MYCBP	GJA9-MYCBP
MYCBP	MYCBP
GJA9	GJA9
RHBDL2	RHBDL2
AKIRIN1	AKIRIN1
NDUFS5	NDUFS5
MACF1	MACF1
KIAA0754	KIAA0754
BMP8A	BMP8A
PPIEL	PPIEL
PABPC4	PABPC4
LOC100506950	LOC100506950
SNORA55	SNORA55
HEYL	HEYL
NT5C1A	NT5C1A
HPCAL4	HPCAL4
PPIE	PPIE
BMP8B	BMP8B
OXCT2	OXCT2
LOC100287437	LOC100287437
TRIT1	TRIT1
MYCL1	MYCL1
MFSD2A	MFSD2A
CAP1	CAP1
PPT1	PPT1
RLF	RLF
TMCO2	TMCO2
ZMPSTE24	ZMPSTE24
COL9A2	COL9A2
LOC100286988	LOC100286988
SMAP2	SMAP2
ZNF643	ZNF643
ZNF642	ZNF642
DEM1	DEM1
ZNF684	ZNF684
RIMS3	RIMS3
LOC100130557	LOC100130557
NFYC	NFYC
MIR30E	MIR30E
MIR30C1	MIR30C1
KCNQ4	KCNQ4
CITED4	CITED4
